workerid,color2,animal2,animal1,choice,color1,verb,slide_number,determiner
0,yellow,birds,flowers,1222,red,not,3,The
0,yellow,birds,flowers,1111,red,is,4,The
0,blue,fishs,flowers,1212,red,not,5,The
0,yellow,birds,flowers,1112,red,not,6,A
0,blue,fishs,flowers,1222,red,not,7,Everything
0,red,birds,fishs,1222,green,not,8,Everything
0,blue,fishs,flowers,1122,red,is,9,The
0,red,birds,fishs,1221,green,not,10,The
0,blue,fishs,flowers,1112,red,not,11,A
0,red,birds,fishs,1122,green,is,12,The
0,blue,birds,flowers,1112,yellow,not,13,A
0,yellow,birds,flowers,1121,red,is,14,Everything
0,blue,birds,flowers,1122,yellow,not,15,Everything
0,blue,birds,flowers,1221,yellow,not,16,The
0,blue,fishs,flowers,1121,red,is,17,Everything
0,blue,fishs,flowers,1112,red,is,18,A
0,red,birds,fishs,1112,green,is,19,A
0,red,birds,fishs,1112,green,not,20,A
0,red,birds,fishs,1121,green,is,21,Everything
0,blue,birds,flowers,1112,yellow,is,22,A
0,blue,birds,flowers,1121,yellow,is,23,Everything
0,yellow,birds,flowers,1112,red,is,24,A
0,blue,birds,flowers,1122,yellow,is,25,The
0,yellow,birds,flowers,1221,red,not,26,Everything
1,blue,bugs,birds,1121,yellow,is,3,The
1,red,fishs,flowers,2121,yellow,is,4,Everything
1,blue,bugs,birds,1221,yellow,not,5,The
1,blue,bugs,birds,1222,yellow,not,6,Everything
1,red,fishs,flowers,1221,yellow,not,7,The
1,red,fishs,flowers,1122,yellow,is,8,The
1,blue,birds,bugs,1222,red,not,9,A
1,red,fishs,flowers,1121,yellow,is,10,A
1,red,fishs,flowers,1222,yellow,not,11,A
1,blue,birds,bugs,1121,red,is,12,Everything
1,blue,birds,bugs,1212,red,not,13,The
1,blue,birds,bugs,1222,red,not,14,Everything
1,blue,bugs,birds,1222,yellow,not,15,A
1,red,fishs,birds,2122,green,not,16,The
1,blue,birds,bugs,1121,red,is,17,The
1,red,fishs,birds,1111,green,is,18,Everything
1,blue,birds,bugs,1121,red,is,19,A
1,red,fishs,birds,1121,green,not,20,Everything
1,blue,bugs,birds,2121,yellow,is,21,Everything
1,red,fishs,flowers,1222,yellow,not,22,Everything
1,red,fishs,birds,1212,green,not,23,A
1,red,fishs,birds,1111,green,is,24,A
1,blue,bugs,birds,1122,yellow,is,25,A
1,red,fishs,birds,1122,green,is,26,The
2,yellow,fishs,bugs,1222,red,not,3,Everything
2,yellow,fishs,bugs,1221,red,not,4,The
2,yellow,fishs,bugs,1221,red,not,5,A
2,yellow,fishs,bugs,1221,green,not,6,The
2,green,flowers,birds,1121,red,is,7,The
2,red,fishs,birds,1122,yellow,is,8,A
2,yellow,fishs,bugs,1121,red,is,9,The
2,red,fishs,birds,1222,yellow,not,10,The
2,yellow,fishs,bugs,1121,green,is,11,Everything
2,yellow,fishs,bugs,1122,green,is,12,The
2,yellow,fishs,bugs,1222,green,not,13,Everything
2,red,fishs,birds,1122,yellow,is,14,The
2,yellow,fishs,bugs,1221,green,not,15,A
2,green,flowers,birds,1222,red,not,16,Everything
2,red,fishs,birds,1221,yellow,not,17,A
2,yellow,fishs,bugs,1121,green,is,18,A
2,green,flowers,birds,1222,red,not,19,A
2,red,fishs,birds,1121,yellow,is,20,Everything
2,green,flowers,birds,1221,red,not,21,The
2,yellow,fishs,bugs,1122,red,is,22,A
2,green,flowers,birds,1112,red,is,23,A
2,red,fishs,birds,1222,yellow,not,24,Everything
2,green,flowers,birds,1121,red,is,25,Everything
2,yellow,fishs,bugs,1121,red,is,26,Everything
3,red,bugs,birds,1222,green,not,3,A
3,blue,birds,bugs,1212,red,not,4,A
3,red,flowers,fishs,1111,green,not,5,The
3,blue,birds,bugs,2121,red,is,6,Everything
3,green,birds,flowers,1212,blue,not,7,A
3,red,bugs,birds,1112,green,is,8,A
3,green,birds,flowers,1212,blue,not,9,The
3,red,flowers,fishs,1121,green,is,10,Everything
3,green,birds,flowers,1111,blue,is,11,The
3,red,flowers,fishs,1222,green,not,12,Everything
3,green,birds,flowers,1122,blue,is,13,A
3,blue,birds,bugs,1112,red,is,14,A
3,red,bugs,birds,1112,green,is,15,Everything
3,red,flowers,fishs,1112,green,is,16,A
3,blue,birds,bugs,1112,red,is,17,The
3,blue,birds,bugs,1222,red,not,18,Everything
3,red,bugs,birds,1122,green,not,19,Everything
3,red,bugs,birds,1122,green,is,20,The
3,blue,birds,bugs,1221,red,not,21,The
3,red,bugs,birds,1212,green,not,22,The
3,red,flowers,fishs,1111,green,not,23,A
3,green,birds,flowers,1121,blue,not,24,Everything
3,green,birds,flowers,1121,blue,is,25,Everything
3,red,flowers,fishs,1122,green,is,26,The
4,green,flowers,birds,1122,blue,is,3,The
4,blue,fishs,bugs,1112,red,is,4,A
4,green,flowers,birds,1222,blue,not,5,Everything
4,blue,fishs,bugs,1221,red,not,6,The
4,blue,flowers,fishs,1112,green,is,7,A
4,blue,flowers,fishs,1111,green,is,8,Everything
4,green,bugs,birds,2222,blue,not,9,Everything
4,blue,fishs,bugs,1112,red,not,10,A
4,green,flowers,birds,1112,blue,not,11,A
4,blue,flowers,fishs,1122,green,is,12,The
4,blue,flowers,fishs,2122,green,not,13,Everything
4,green,flowers,birds,1221,blue,not,14,The
4,green,bugs,birds,1112,blue,not,15,A
4,green,bugs,birds,1221,blue,not,16,The
4,green,flowers,birds,2121,blue,is,17,Everything
4,blue,flowers,fishs,1221,green,not,18,The
4,green,bugs,birds,1122,blue,is,19,The
4,green,bugs,birds,1112,blue,is,20,A
4,green,flowers,birds,1112,blue,is,21,A
4,blue,fishs,bugs,1121,red,is,22,The
4,blue,flowers,fishs,1112,green,not,23,A
4,blue,fishs,bugs,2122,red,not,24,Everything
4,green,bugs,birds,1121,blue,is,25,Everything
4,blue,fishs,bugs,2121,red,is,26,Everything
5,yellow,bugs,fishs,1111,blue,is,3,The
5,blue,birds,fishs,1112,green,not,4,Everything
5,blue,birds,fishs,2121,green,is,5,Everything
5,green,bugs,flowers,1212,blue,not,6,A
5,green,bugs,flowers,2121,blue,is,7,Everything
5,yellow,bugs,fishs,1221,blue,not,8,The
5,blue,birds,fishs,1111,green,is,9,The
5,red,birds,flowers,1221,blue,not,10,The
5,red,birds,flowers,1122,blue,not,11,Everything
5,green,bugs,flowers,1221,blue,not,12,The
5,yellow,bugs,fishs,2122,blue,not,13,Everything
5,yellow,bugs,fishs,1112,blue,is,14,A
5,green,bugs,flowers,1221,blue,not,15,Everything
5,blue,birds,fishs,1112,green,is,16,A
5,red,birds,flowers,1121,blue,is,17,The
5,blue,birds,fishs,1112,green,not,18,A
5,red,birds,flowers,1122,blue,is,19,A
5,yellow,bugs,fishs,1222,blue,not,20,A
5,green,bugs,flowers,1121,blue,is,21,The
5,red,birds,flowers,2121,blue,is,22,Everything
5,red,birds,flowers,1221,blue,not,23,A
5,green,bugs,flowers,1122,blue,is,24,A
5,yellow,bugs,fishs,1111,blue,is,25,Everything
5,blue,birds,fishs,1221,green,not,26,The
6,blue,flowers,birds,1121,green,not,3,Everything
6,red,birds,fishs,1212,blue,not,4,A
6,yellow,bugs,flowers,1111,blue,is,5,The
6,yellow,bugs,flowers,1122,blue,not,6,Everything
6,red,birds,fishs,1212,blue,not,7,The
6,blue,flowers,birds,1222,green,not,8,A
6,yellow,bugs,flowers,1212,blue,not,9,The
6,blue,flowers,birds,2121,green,is,10,Everything
6,yellow,bugs,flowers,1112,blue,not,11,A
6,green,flowers,fishs,1112,red,not,12,Everything
6,red,birds,fishs,1112,blue,is,13,A
6,yellow,bugs,flowers,2121,blue,is,14,Everything
6,blue,flowers,birds,1222,green,not,15,The
6,green,flowers,fishs,1212,red,not,16,The
6,red,birds,fishs,1122,blue,is,17,The
6,green,flowers,fishs,1121,red,is,18,The
6,red,birds,fishs,1121,blue,is,19,Everything
6,green,flowers,fishs,1112,red,is,20,A
6,green,flowers,fishs,1111,red,is,21,Everything
6,red,birds,fishs,1112,blue,not,22,Everything
6,green,flowers,fishs,1221,red,not,23,A
6,blue,flowers,birds,1111,green,is,24,The
6,blue,flowers,birds,1112,green,is,25,A
6,yellow,bugs,flowers,1122,blue,is,26,A
7,green,birds,bugs,1112,yellow,is,3,A
7,green,birds,bugs,1221,yellow,not,4,The
7,green,birds,bugs,2121,yellow,is,5,The
7,yellow,fishs,bugs,1122,blue,is,6,The
7,red,flowers,fishs,1111,blue,is,7,Everything
7,red,flowers,fishs,1212,blue,not,8,Everything
7,green,birds,bugs,1222,yellow,not,9,Everything
7,yellow,fishs,bugs,1121,blue,is,10,Everything
7,red,bugs,birds,1121,yellow,is,11,Everything
7,yellow,fishs,bugs,1221,blue,not,12,Everything
7,green,birds,bugs,1222,yellow,not,13,A
7,yellow,fishs,bugs,1112,blue,not,14,A
7,red,bugs,birds,1222,yellow,not,15,A
7,red,flowers,fishs,1112,blue,not,16,The
7,red,flowers,fishs,1112,blue,is,17,A
7,red,bugs,birds,1122,yellow,not,18,The
7,red,flowers,fishs,1221,blue,is,19,The
7,yellow,fishs,bugs,1121,blue,not,20,The
7,red,bugs,birds,1122,yellow,not,21,Everything
7,red,bugs,birds,1111,yellow,is,22,The
7,red,flowers,fishs,1112,blue,not,23,A
7,red,bugs,birds,1122,yellow,is,24,A
7,green,birds,bugs,2122,yellow,is,25,Everything
7,yellow,fishs,bugs,2121,blue,is,26,A
8,red,flowers,bugs,1212,yellow,not,3,A
8,green,flowers,birds,1111,blue,is,4,Everything
8,red,flowers,bugs,1221,yellow,not,5,The
8,red,bugs,fishs,1112,yellow,not,6,A
8,red,flowers,bugs,1221,yellow,is,7,A
8,green,flowers,birds,1222,blue,not,8,Everything
8,red,bugs,fishs,1112,yellow,is,9,A
8,yellow,flowers,bugs,1122,blue,is,10,A
8,green,flowers,birds,1112,blue,is,11,A
8,green,flowers,birds,1112,blue,not,12,A
8,red,flowers,bugs,1122,yellow,is,13,The
8,red,bugs,fishs,1122,yellow,is,14,The
8,red,bugs,fishs,1221,yellow,not,15,The
8,red,bugs,fishs,1121,yellow,is,16,Everything
8,yellow,flowers,bugs,1121,blue,is,17,Everything
8,yellow,flowers,bugs,1112,blue,not,18,A
8,yellow,flowers,bugs,1222,blue,not,19,Everything
8,red,bugs,fishs,1222,yellow,not,20,Everything
8,red,flowers,bugs,1121,yellow,is,21,Everything
8,red,flowers,bugs,1222,yellow,not,22,Everything
8,yellow,flowers,bugs,1221,blue,not,23,The
8,green,flowers,birds,1221,blue,not,24,The
8,green,flowers,birds,1122,blue,is,25,The
8,yellow,flowers,bugs,1122,blue,is,26,The
